Channel              :,CH1,CH2
Frequency            :,60.00Hz,59.97Hz
Period               :,16.67ms,16.67ms
PK-PK                :,8.200V?,1.080V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,20.00000uS,20.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
318,-2280.000000,360.000000
319,-2280.000000,360.000000
320,-2240.000000,360.000000
321,-2240.000000,360.000000
322,-2240.000000,360.000000
323,-2200.000000,360.000000
324,-2200.000000,320.000000
325,-2200.000000,320.000000
326,-2160.000000,360.000000
327,-2120.000000,320.000000
328,-2120.000000,360.000000
329,-2120.000000,320.000000
330,-2080.000000,320.000000
331,-2080.000000,320.000000
332,-2040.000000,320.000000
333,-2040.000000,320.000000
334,-2040.000000,320.000000
335,-2000.000000,320.000000
336,-1960.000000,320.000000
337,-1960.000000,280.000000
338,-1960.000000,320.000000
339,-1920.000000,320.000000
340,-1920.000000,280.000000
341,-1920.000000,320.000000
342,-1920.000000,280.000000
343,-1880.000000,320.000000
344,-1880.000000,280.000000
345,-1840.000000,280.000000
346,-1840.000000,320.000000
347,-1760.000000,280.000000
348,-1760.000000,280.000000
349,-1760.000000,280.000000
350,-1760.000000,280.000000
351,-1720.000000,240.000000
352,-1680.000000,240.000000
353,-1680.000000,280.000000
354,-1640.000000,280.000000
355,-1640.000000,240.000000
356,-1640.000000,240.000000
357,-1600.000000,280.000000
358,-1600.000000,240.000000
359,-1600.000000,240.000000
360,-1520.000000,240.000000
361,-1520.000000,240.000000
362,-1480.000000,200.000000
363,-1480.000000,240.000000
364,-1480.000000,240.000000
365,-1440.000000,240.000000
366,-1440.000000,240.000000
367,-1440.000000,240.000000
368,-1400.000000,200.000000
369,-1360.000000,200.000000
370,-1360.000000,200.000000
371,-1360.000000,200.000000
372,-1280.000000,200.000000
373,-1280.000000,200.000000
374,-1240.000000,200.000000
375,-1240.000000,200.000000
376,-1240.000000,200.000000
377,-1200.000000,200.000000
378,-1160.000000,160.000000
379,-1160.000000,160.000000
380,-1160.000000,160.000000
381,-1120.000000,160.000000
382,-1080.000000,160.000000
383,-1080.000000,160.000000
384,-1080.000000,160.000000
385,-1040.000000,160.000000
386,-1000.000000,160.000000
387,-1000.000000,160.000000
388,-960.000000,120.000000
389,-920.000000,120.000000
390,-920.000000,120.000000
