Channel              :,CH1,CH2
Frequency            :,1.000kHz,1.000kHz
Period               :,1.000ms,1.000ms
PK-PK                :,5.880V,1.040V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
522,2600.000000,-480.000000
523,2600.000000,-480.000000
524,2600.000000,-520.000000
525,2600.000000,-480.000000
526,2600.000000,-520.000000
527,2600.000000,-480.000000
528,2640.000000,-520.000000
529,2640.000000,-480.000000
530,2640.000000,-480.000000
531,2640.000000,-480.000000
532,2640.000000,-480.000000
533,2680.000000,-480.000000
534,2640.000000,-480.000000
535,2640.000000,-480.000000
536,2640.000000,-480.000000
537,2640.000000,-520.000000
538,2640.000000,-520.000000
539,2640.000000,-480.000000
540,2680.000000,-520.000000
541,2680.000000,-480.000000
542,2680.000000,-520.000000
543,2680.000000,-520.000000
544,2680.000000,-520.000000
545,2680.000000,-520.000000
546,2680.000000,-480.000000
547,2680.000000,-480.000000
548,2680.000000,-480.000000
549,2680.000000,-480.000000
550,2680.000000,-480.000000
551,2680.000000,-520.000000
552,2680.000000,-480.000000
553,2680.000000,-480.000000
554,2680.000000,-480.000000
555,2680.000000,-480.000000
556,2680.000000,-480.000000
557,2720.000000,-520.000000
558,2680.000000,-520.000000
559,2720.000000,-480.000000
560,2720.000000,-480.000000
561,2680.000000,-480.000000
562,2680.000000,-480.000000
563,2720.000000,-480.000000
564,2720.000000,-480.000000
565,2720.000000,-520.000000
566,2720.000000,-480.000000
567,2720.000000,-480.000000
568,2720.000000,-480.000000
569,2720.000000,-480.000000
570,2720.000000,-480.000000
571,2760.000000,-520.000000
572,2720.000000,-480.000000
573,2720.000000,-480.000000
574,2760.000000,-480.000000
575,2760.000000,-480.000000
576,2760.000000,-480.000000
577,2760.000000,-520.000000
578,2760.000000,-520.000000
579,2760.000000,-480.000000
580,2760.000000,-520.000000
581,2760.000000,-520.000000
582,2800.000000,-480.000000
583,2760.000000,-480.000000
584,2760.000000,-520.000000
585,2760.000000,-520.000000
586,2760.000000,-480.000000
587,2760.000000,-480.000000
588,2760.000000,-480.000000
589,2800.000000,-480.000000
590,2760.000000,-520.000000
591,2800.000000,-480.000000
592,2800.000000,-480.000000
593,2800.000000,-520.000000
594,2800.000000,-480.000000
595,2760.000000,-480.000000
596,2800.000000,-520.000000
597,2760.000000,-480.000000
598,2800.000000,-480.000000
599,2800.000000,-520.000000
600,2800.000000,-480.000000
601,2800.000000,-480.000000
602,2800.000000,-520.000000
603,2800.000000,-480.000000
604,2800.000000,-480.000000
605,2800.000000,-480.000000
606,2800.000000,-480.000000
607,2840.000000,-520.000000
608,2800.000000,-520.000000
609,2800.000000,-520.000000
610,2800.000000,-520.000000
611,2840.000000,-480.000000
612,2800.000000,-480.000000
613,2840.000000,-480.000000
614,2840.000000,-480.000000
615,2840.000000,-520.000000
616,2840.000000,-480.000000
617,2800.000000,-480.000000
618,2840.000000,-480.000000
619,2840.000000,-480.000000
620,2840.000000,-480.000000
621,2840.000000,-480.000000
622,2840.000000,-520.000000
623,2840.000000,-480.000000
624,2840.000000,-480.000000
625,2840.000000,-520.000000
626,2840.000000,-520.000000
627,2840.000000,-480.000000
628,2840.000000,-520.000000
629,2880.000000,-520.000000
630,2880.000000,-480.000000
631,2880.000000,-480.000000
632,2880.000000,-520.000000
633,2880.000000,-480.000000
634,2880.000000,-520.000000
635,2880.000000,-480.000000
636,2880.000000,-480.000000
637,2880.000000,-520.000000
638,2880.000000,-480.000000
639,2880.000000,-480.000000
640,2880.000000,-520.000000
641,2880.000000,-480.000000
642,2920.000000,-480.000000
643,2880.000000,-480.000000
644,2880.000000,-520.000000
645,2920.000000,-520.000000
646,2920.000000,-480.000000
647,2920.000000,-480.000000
648,2880.000000,-480.000000
649,2880.000000,-520.000000
650,2920.000000,-480.000000
651,2880.000000,-480.000000
652,2880.000000,-480.000000
653,2880.000000,-480.000000
654,2880.000000,-480.000000
655,2880.000000,-480.000000
656,2880.000000,-520.000000
657,2880.000000,-520.000000
658,2880.000000,-480.000000
659,2880.000000,-520.000000
660,2880.000000,-480.000000
661,2880.000000,-520.000000
662,2840.000000,-520.000000
663,2880.000000,-480.000000
664,2880.000000,-520.000000
665,2840.000000,-520.000000
666,2840.000000,-480.000000
667,2880.000000,-520.000000
668,2840.000000,-480.000000
669,2840.000000,-480.000000
670,2840.000000,-480.000000
671,2840.000000,-520.000000
672,2840.000000,-480.000000
673,2840.000000,-520.000000
674,2840.000000,-520.000000
675,2840.000000,-480.000000
676,2840.000000,-520.000000
677,2840.000000,-480.000000
678,2840.000000,-520.000000
679,2840.000000,-480.000000
680,2840.000000,-520.000000
681,2800.000000,-520.000000
682,2840.000000,-520.000000
683,2840.000000,-480.000000
684,2800.000000,-480.000000
685,2800.000000,-520.000000
686,2840.000000,-480.000000
687,2800.000000,-520.000000
688,2800.000000,-480.000000
689,2800.000000,-480.000000
690,2800.000000,-480.000000
691,2800.000000,-520.000000
692,2800.000000,-480.000000
693,2800.000000,-520.000000
694,2800.000000,-520.000000
695,2800.000000,-480.000000
696,2800.000000,-520.000000
697,2760.000000,-520.000000
698,2800.000000,-480.000000
699,2800.000000,-480.000000
700,2800.000000,-520.000000
701,2800.000000,-480.000000
702,2760.000000,-480.000000
703,2800.000000,-480.000000
704,2800.000000,-480.000000
705,2760.000000,-520.000000
706,2760.000000,-520.000000
707,2800.000000,-520.000000
708,2760.000000,-480.000000
709,2760.000000,-520.000000
710,2760.000000,-480.000000
711,2760.000000,-480.000000
712,2760.000000,-480.000000
713,2760.000000,-480.000000
714,2760.000000,-520.000000
715,2720.000000,-520.000000
716,2760.000000,-520.000000
717,2720.000000,-480.000000
718,2720.000000,-480.000000
719,2720.000000,-480.000000
720,2760.000000,-480.000000
721,2720.000000,-520.000000
722,2720.000000,-480.000000
723,2720.000000,-480.000000
724,2720.000000,-520.000000
725,2720.000000,-480.000000
726,2720.000000,-480.000000
